Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 13:32:39.643,ed:40:fe:65:30:6c, 2015-01-01 01:18:37.215, 0.687, 0.024, 0.731, 0, 0, -0.244, 1.769, -43.242, -128.688, -21.460, -10.567, -2.820, 29.57, 0.40878, -0.32602, -0.17325, -0.83456,
 13:32:39.643,ed:40:fe:65:30:6c, 2015-01-01 01:18:37.215, 0.687, 0.024, 0.73, -0.061, -0.061, -0.366, 1.774, -43.242, -128.71, -21.460, -10.567, -2.820, 29.57, 0.40878, -0.32602, -0.17325, -0.83456,
 13:32:39.644,ed:35:33:d3:6c:f8, 2015-01-01 01:18:37.335, 0.432, -0.014, 0.896, 0.122, -0.061, -0.488, -1.104, -25.637, 172.661, -14.253, -10.313, -31.507, 29.05, 0.0643, 0.22095, -0.02356, 0.97284,
 13:32:39.644,ed:35:33:d3:6c:f8, 2015-01-01 01:18:37.335, 0.431, -0.014, 0.895, 0.305, 0, -0.549, -1.093, -25.642, 172.645, -14.253, -10.313, -31.507, 29.05, 0.0643, 0.22095, -0.02356, 0.97284,
 13:32:39.664,e3:ca:2d:fd:e0:8c, 2015-01-01 01:18:38.120, 0.993, -0.034, 0.255, -0.366, 0.122, 0, -7.954, -75.465, -178.011, -27.133, -11.273, -8.013, 29.49, 0.02863, 0.61179, -0.04419, 0.78922,
 13:32:39.664,e3:ca:2d:fd:e0:8c, 2015-01-01 01:18:38.120, 0.989, -0.034, 0.254, -0.305, 0.427, 0, -7.96, -75.46, -178.017, -27.133, -11.273, -8.013, 29.49, 0.02863, 0.61179, -0.04419, 0.78922,
 13:32:39.665,ed:40:fe:65:30:6c, 2015-01-01 01:18:37.215, 0.685, 0.024, 0.73, 0, 0.061, -0.427, 1.785, -43.242, -128.738, -21.353, -10.507, -3.040, 29.57, 0.40878, -0.32602, -0.17325, -0.83456,
 13:32:39.665,ed:40:fe:65:30:6c, 2015-01-01 01:18:37.215, 0.682, 0.023, 0.729, 0.061, 0.183, -0.427, 1.791, -43.237, -128.76, -21.353, -10.507, -3.040, 29.57, 0.40878, -0.32602, -0.17325, -0.83456,
 13:32:39.666,ed:35:33:d3:6c:f8, 2015-01-01 01:18:37.670, 0.426, -0.014, 0.895, 0.488, 0.366, -0.488, -1.082, -25.637, 172.606, -14.253, -10.313, -31.507, 29.05, 0.0643, 0.22095, -0.02356, 0.97284,
 13:32:39.666,ed:35:33:d3:6c:f8, 2015-01-01 01:18:37.670, 0.425, -0.014, 0.896, 0.427, 0.366, -0.427, -1.066, -25.631, 172.562, -14.253, -10.313, -31.507, 29.05, 0.0643, 0.22095, -0.02356, 0.97284,
 13:32:39.667,f6:90:cc:01:6d:25, 2015-01-01 01:18:36.725, 0.978, 0.113, 0.036, -0.305, 0, -0.122, 72.356, -83.177, 126.381, -31.880, -13.447, 2.773, 31.56, -0.07715, 0.67767, 0.15195, 0.71527,
 13:32:39.667,f6:90:cc:01:6d:25, 2015-01-01 01:18:36.725, 0.976, 0.111, 0.035, -0.305, 0, -0.061, 72.361, -83.177, 126.376, -31.880, -13.447, 2.773, 31.56, -0.07715, 0.67767, 0.15195, 0.71527,
 13:32:39.686,e3:ca:2d:fd:e0:8c, 2015-01-01 01:18:38.120, 0.984, -0.036, 0.253, -0.061, 0.061, 0, -7.954, -75.454, -178.017, -27.133, -11.273, -8.013, 29.49, 0.02863, 0.61179, -0.04419, 0.78922,
 13:32:39.686,e3:ca:2d:fd:e0:8c, 2015-01-01 01:18:38.120, 0.982, -0.037, 0.253, 0.061, -0.305, 0, -7.954, -75.454, -178.017, -27.133, -11.273, -8.013, 29.49, 0.02863, 0.61179, -0.04419, 0.78922,
 13:32:39.690,f6:90:cc:01:6d:25, 2015-01-01 01:18:36.725, 0.975, 0.108, 0.036, -0.244, 0, 0, 72.361, -83.177, 126.376, -31.840, -13.527, 3.167, 31.56, -0.07715, 0.67767, 0.15195, 0.71527,
 13:32:39.690,f6:90:cc:01:6d:25, 2015-01-01 01:18:36.725, 0.976, 0.107, 0.037, -0.183, 0, 0, 72.361, -83.177, 126.376, -31.840, -13.527, 3.167, 31.56, -0.07715, 0.67767, 0.15195, 0.71527,
 13:32:39.711,ed:40:fe:65:30:6c, 2015-01-01 01:18:37.215, 0.681, 0.022, 0.729, 0.061, 0.183, -0.366, 1.802, -43.231, -128.782, -21.353, -10.507, -3.040, 29.57, 0.40878, -0.32602, -0.17325, -0.83456,
 13:32:39.711,ed:40:fe:65:30:6c, 2015-01-01 01:18:37.215, 0.681, 0.021, 0.73, 0, 0, -0.244, 1.802, -43.231, -128.804, -21.353, -10.507, -3.040, 29.57, 0.40878, -0.32602, -0.17325, -0.83456,
 13:32:39.711,ed:35:33:d3:6c:f8, 2015-01-01 01:18:37.670, 0.427, -0.013, 0.896, 0, 0.061, -0.183, -1.055, -25.626, 172.524, -14.253, -10.313, -31.507, 29.05, 0.0643, 0.22095, -0.02356, 0.97284,
 13:32:39.711,ed:35:33:d3:6c:f8, 2015-01-01 01:18:37.670, 0.429, -0.014, 0.896, -0.244, 0, 0, -1.049, -25.626, 172.507, -14.253, -10.313, -31.507, 29.05, 0.0643, 0.22095, -0.02356, 0.97284,
 13:32:39.731,e3:ca:2d:fd:e0:8c, 2015-01-01 01:18:38.120, 0.986, -0.037, 0.252, 0, -0.122, 0, -7.954, -75.46, -178.017, -27.133, -11.273, -8.013, 29.49, 0.02863, 0.61179, -0.04419, 0.78922,
 13:32:39.731,e3:ca:2d:fd:e0:8c, 2015-01-01 01:18:38.120, 0.988, -0.036, 0.254, -0.183, 0.061, 0, -7.96, -75.465, -178.017, -27.133, -11.273, -8.013, 29.49, 0.02863, 0.61179, -0.04419, 0.78922,
 13:32:39.732,ed:40:fe:65:30:6c, 2015-01-01 01:18:37.215, 0.683, 0.021, 0.73, -0.061, -0.122, -0.061, 1.802, -43.231, -128.815, -21.353, -10.507, -3.040, 29.57, 0.4068, -0.32584, -0.17233, -0.83578,
 13:32:39.732,ed:40:fe:65:30:6c, 2015-01-01 01:18:37.215, 0.685, 0.021, 0.73, 0, -0.061, 0.061, 1.802, -43.231, -128.826, -21.353, -10.507, -3.040, 29.57, 0.4068, -0.32584, -0.17233, -0.83578,
 13:32:39.736,f6:90:cc:01:6d:25, 2015-01-01 01:18:36.725, 0.976, 0.108, 0.037, -0.122, 0, 0, 72.356, -83.177, 126.376, -31.840, -13.527, 3.167, 31.56, -0.07715, 0.67767, 0.15195, 0.71527,
 13:32:39.736,f6:90:cc:01:6d:25, 2015-01-01 01:18:36.725, 0.979, 0.109, 0.036, 0, 0, 0.061, 72.35, -83.177, 126.376, -31.840, -13.527, 3.167, 31.56, -0.07715, 0.67767, 0.15195, 0.71527,
 13:32:39.755,e3:ca:2d:fd:e0:8c, 2015-01-01 01:18:38.120, 0.987, -0.036, 0.255, -0.183, 0.061, 0, -7.96, -75.465, -178.017, -27.133, -11.273, -8.013, 29.49, 0.02884, 0.61133, -0.04434, 0.78955,
 13:32:39.756,e3:ca:2d:fd:e0:8c, 2015-01-01 01:18:38.120, 0.988, -0.035, 0.253, 0, -0.061, 0, -7.965, -75.46, -178.022, -27.133, -11.273, -8.013, 29.49, 0.02884, 0.61133, -0.04434, 0.78955,
 13:32:39.756,ed:35:33:d3:6c:f8, 2015-01-01 01:18:37.670, 0.431, -0.014, 0.896, -0.183, 0.305, 0.183, -1.055, -25.626, 172.496, -14.253, -10.313, -31.507, 29.05, 0.0643, 0.22095, -0.02356, 0.97284,
 13:32:39.756,ed:35:33:d3:6c:f8, 2015-01-01 01:18:37.670, 0.429, -0.015, 0.899, -0.244, 0.61, 0.427, -1.06, -25.615, 172.491, -14.253, -10.313, -31.507, 29.05, 0.0643, 0.22095, -0.02356, 0.97284,
 13:32:39.778,ed:40:fe:65:30:6c, 2015-01-01 01:18:37.215, 0.687, 0.021, 0.731, 0.122, -0.122, 0.122, 1.802, -43.231, -128.837, -21.353, -10.507, -3.040, 29.57, 0.4068, -0.32584, -0.17233, -0.83578,
 13:32:39.778,ed:40:fe:65:30:6c, 2015-01-01 01:18:37.215, 0.688, 0.021, 0.734, 0.183, -0.244, 0.244, 1.796, -43.237, -128.842, -21.353, -10.507, -3.040, 29.57, 0.4068, -0.32584, -0.17233, -0.83578,
 13:32:39.780,f6:90:cc:01:6d:25, 2015-01-01 01:18:36.725, 0.981, 0.11, 0.035, 0, -0.061, 0, 72.361, -83.177, 126.365, -31.840, -13.527, 3.167, 31.56, -0.07739, 0.67731, 0.15234, 0.71552,
