Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 16:31:10.579,ed:40:fe:65:30:6c, 2015-01-01 04:42:11.440, 0.898, -0.119, 0.433, -0.305, 0.305, 0.61, -13.475, -64.012, -105.623, -27.280, -5.233, 2.547, 27.38, 0.45947, -0.47946, -0.23965, -0.70813,
 16:31:10.580,ed:40:fe:65:30:6c, 2015-01-01 04:42:11.440, 0.895, -0.113, 0.43, 0.427, -0.488, 0.549, -13.502, -64.012, -105.579, -27.280, -5.233, 2.547, 27.38, 0.45947, -0.47946, -0.23965, -0.70813,
 16:31:10.581,e3:ca:2d:fd:e0:8c, 2015-01-01 04:42:06.040, 1.004, 0.098, -0.12, -0.916, -0.916, -0.061, 141.817, -81.035, 11.492, -26.760, -14.167, -2.153, 29.49, 0.18668, 0.73532, -0.13824, 0.63657,
 16:31:10.581,e3:ca:2d:fd:e0:8c, 2015-01-01 04:42:06.040, 1.006, 0.096, -0.123, -0.854, -0.916, 0, 141.866, -81.019, 11.442, -26.760, -14.167, -2.153, 29.49, 0.18668, 0.73532, -0.13824, 0.63657,
 16:31:10.601,ed:40:fe:65:30:6c, 2015-01-01 04:42:11.440, 0.898, -0.106, 0.431, 0.977, -0.427, 0.427, -13.513, -64.017, -105.54, -27.280, -5.233, 2.547, 27.38, 0.45947, -0.47946, -0.23965, -0.70813,
 16:31:10.601,ed:40:fe:65:30:6c, 2015-01-01 04:42:11.440, 0.906, -0.103, 0.428, 0.488, -0.793, 0.122, -13.524, -64.028, -105.513, -27.280, -5.233, 2.547, 27.38, 0.45947, -0.47946, -0.23965, -0.70813,
 16:31:10.605,f6:90:cc:01:6d:25, 2015-01-01 04:42:06.505, 0.979, 0.075, 0.057, 0.366, -0.122, -0.305, 52.85, -84.117, 135.461, -29.680, -14.307, -0.687, 31.78, 0.02448, -0.68018, -0.07986, -0.72821,
 16:31:10.605,f6:90:cc:01:6d:25, 2015-01-01 04:42:06.505, 0.986, 0.075, 0.063, 0.366, -0.183, -0.305, 52.883, -84.117, 135.45, -29.680, -14.307, -0.687, 31.78, 0.02448, -0.68018, -0.07986, -0.72821,
 16:31:10.605,ed:35:33:d3:6c:f8, 2015-01-01 04:42:06.320, 0.813, 0.084, 0.566, 1.343, 2.563, 0.366, 9.234, -54.959, 134.742, -21.253, -11.727, -22.673, 29.81, -0.30444, -0.45358, 0.11111, -0.83011,
 16:31:10.605,ed:35:33:d3:6c:f8, 2015-01-01 04:42:06.320, 0.819, 0.088, 0.567, 0.488, 3.174, -0.061, 9.223, -54.904, 134.786, -21.253, -11.727, -22.673, 29.81, -0.30444, -0.45358, 0.11111, -0.83011,
 16:31:10.625,e3:ca:2d:fd:e0:8c, 2015-01-01 04:42:06.040, 1.007, 0.095, -0.125, -0.854, -0.366, -0.061, 141.883, -81.013, 11.426, -26.760, -14.167, -2.153, 29.49, 0.18668, 0.73532, -0.13824, 0.63657,
 16:31:10.625,e3:ca:2d:fd:e0:8c, 2015-01-01 04:42:06.040, 1.007, 0.094, -0.123, -0.793, -0.366, -0.122, 141.883, -81.008, 11.42, -26.760, -14.167, -2.153, 29.49, 0.18668, 0.73532, -0.13824, 0.63657,
