Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 11:17:22.359,ed:40:fe:65:30:6c, 2015-01-01 00:30:12.795, 0.864, 0.061, 0.506, 2.563, 0.183, 0.916, 10.107, -59.348, -114.516, -26.220, -7.820, 5.513, 22.99, -0.50101, 0.37418, 0.33087, 0.70667,
 11:17:22.359,ed:40:fe:65:30:6c, 2015-01-01 00:30:12.795, 0.854, 0.063, 0.507, 2.319, 0.671, 0.305, 10.113, -59.343, -114.494, -26.220, -7.820, 5.513, 22.99, -0.50101, 0.37418, 0.33087, 0.70667,
 11:17:22.359,e3:ca:2d:fd:e0:8c, 2015-01-01 00:30:12.970, 0.85, 0.096, 0.552, -1.404, -0.427, 2.502, 10.349, -56.722, 152.864, -21.113, -8.867, -16.020, 21.27, -0.16434, -0.47925, 0.02563, -0.86169,
 11:17:22.359,e3:ca:2d:fd:e0:8c, 2015-01-01 00:30:12.970, 0.851, 0.091, 0.549, -1.404, -1.343, 1.953, 10.267, -56.755, 152.886, -21.113, -8.867, -16.020, 21.27, -0.16434, -0.47925, 0.02563, -0.86169,
 11:17:22.378,ed:35:33:d3:6c:f8, 2015-01-01 00:30:16.000, 0.684, 0.101, 0.707, -1.709, 3.784, -0.061, 10.953, -43.434, 150.095, -17.380, -10.480, -21.800, 26.1, -0.2041, -0.3829, 0.00607, -0.90088,
 11:17:22.378,ed:35:33:d3:6c:f8, 2015-01-01 00:30:16.000, 0.671, 0.106, 0.71, -0.916, 6.042, -1.404, 10.909, -43.341, 150.09, -17.380, -10.480, -21.800, 26.1, -0.2041, -0.3829, 0.00607, -0.90088,
 11:17:22.380,f6:90:cc:01:6d:25, 2015-01-01 00:30:15.520, 0.932, 0.134, 0.307, -0.549, 2.014, 3.906, 26.125, -70.532, -160.455, -28.167, -10.093, -2.913, 27.33, 0.25311, -0.5206, -0.28281, -0.76474,
 11:17:22.380,f6:90:cc:01:6d:25, 2015-01-01 00:30:15.520, 0.93, 0.128, 0.303, -0.61, 1.709, 3.357, 25.9, -70.532, -160.23, -28.167, -10.093, -2.913, 27.33, 0.25311, -0.5206, -0.28281, -0.76474,
 11:17:22.403,ed:40:fe:65:30:6c, 2015-01-01 00:30:12.795, 0.852, 0.067, 0.509, 2.014, 0.793, 0.122, 10.124, -59.326, -114.483, -26.220, -7.820, 5.513, 22.99, -0.50101, 0.37418, 0.33087, 0.70667,
 11:17:22.403,ed:40:fe:65:30:6c, 2015-01-01 00:30:12.795, 0.86, 0.069, 0.507, 2.502, 0.366, 0, 10.146, -59.315, -114.478, -26.220, -7.820, 5.513, 22.99, -0.50101, 0.37418, 0.33087, 0.70667,
 11:17:22.405,e3:ca:2d:fd:e0:8c, 2015-01-01 00:30:12.970, 0.852, 0.087, 0.545, -1.221, -1.587, 1.465, 10.201, -56.788, 152.935, -21.107, -8.547, -16.467, 21.27, -0.16434, -0.47925, 0.02563, -0.86169,
