Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 14:56:47.111,ed:40:fe:65:30:6c, 2015-01-01 02:42:09.360, 0.921, -0.007, 0.399, 0.793, 0.183, -0.061, -0.901, -66.33, -121.328, -26.573, -8.893, 2.740, 30.53, 0.40436, -0.48141, -0.26401, -0.73138,
 14:56:47.112,ed:40:fe:65:30:6c, 2015-01-01 02:42:09.360, 0.921, -0.007, 0.398, 1.038, 0.183, 0, -0.884, -66.324, -121.328, -26.573, -8.893, 2.740, 30.53, 0.40436, -0.48141, -0.26401, -0.73138,
 14:56:47.113,ed:35:33:d3:6c:f8, 2015-01-01 02:42:09.710, 0.932, 0.075, 0.337, 0.732, 2.563, -0.671, 12.64, -69.351, 139.867, -24.847, -11.193, -13.907, 32.82, -0.22174, -0.56586, 0.1109, -0.78629,
 14:56:47.113,ed:35:33:d3:6c:f8, 2015-01-01 02:42:09.710, 0.931, 0.076, 0.338, 1.038, 2.747, -0.427, 12.656, -69.302, 139.911, -24.847, -11.193, -13.907, 32.82, -0.22174, -0.56586, 0.1109, -0.78629,
 14:56:47.134,e3:ca:2d:fd:e0:8c, 2015-01-01 02:42:10.265, 0.875, -0.115, 0.516, 0.305, -0.732, 0.488, -12.057, -58.398, 171.694, -21.967, -7.027, -17.353, 28.23, -0.11203, -0.47574, 0.1246, -0.86343,
 14:56:47.134,e3:ca:2d:fd:e0:8c, 2015-01-01 02:42:10.265, 0.873, -0.113, 0.516, 0.183, -0.732, 0.549, -12.074, -58.414, 171.667, -21.967, -7.027, -17.353, 28.23, -0.11203, -0.47574, 0.1246, -0.86343,
 14:56:47.137,f6:90:cc:01:6d:25, 2015-01-01 02:42:08.780, 0.984, -0.059, 0.045, 1.282, -0.854, -0.244, -48.675, -85.386, -132.111, -30.707, -8.253, -1.720, 33.32, -0.01593, 0.68735, -0.02658, 0.72559,
 14:56:47.137,f6:90:cc:01:6d:25, 2015-01-01 02:42:08.780, 0.984, -0.059, 0.043, 1.038, -0.916, -0.305, -48.785, -85.402, -131.962, -30.707, -8.253, -1.720, 33.32, -0.01593, 0.68735, -0.02658, 0.72559,
 14:56:47.156,ed:40:fe:65:30:6c, 2015-01-01 02:42:09.360, 0.921, -0.005, 0.398, 0.61, 0.305, 0.061, -0.873, -66.319, -121.333, -26.573, -8.893, 2.740, 30.53, 0.40436, -0.48141, -0.26401, -0.73138,
 14:56:47.156,ed:40:fe:65:30:6c, 2015-01-01 02:42:09.360, 0.923, -0.001, 0.399, -0.122, 0.671, 0.122, -0.879, -66.313, -121.333, -26.573, -8.893, 2.740, 30.53, 0.40436, -0.48141, -0.26401, -0.73138,
