Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 11:22:51.414,e3:ca:2d:fd:e0:8c, 2015-01-01 00:35:39.880, 0.986, -0.081, -0.244, 0.427, -0.061, 0.122, -161.307, -75.641, -69.302, -26.227, -4.813, -3.180, 22.85, -0.23853, -0.69791, 0.36081, -0.57071,
 11:22:51.415,e3:ca:2d:fd:e0:8c, 2015-01-01 00:35:39.880, 0.986, -0.081, -0.249, 0.183, -0.793, 0.244, -161.307, -75.624, -69.34, -26.227, -4.813, -3.180, 22.85, -0.23853, -0.69791, 0.36081, -0.57071,
 11:22:51.432,ed:35:33:d3:6c:f8, 2015-01-01 00:35:42.820, 0.928, 0.054, 0.352, -0.061, 0, -0.854, 7.949, -69.241, 152.353, -24.700, -9.107, -11.740, 28.91, -0.15616, -0.56396, 0.08002, -0.80688,
 11:22:51.432,ed:35:33:d3:6c:f8, 2015-01-01 00:35:42.820, 0.93, 0.053, 0.354, -0.305, 0, -0.854, 7.987, -69.241, 152.287, -24.700, -9.107, -11.740, 28.91, -0.15616, -0.56396, 0.08002, -0.80688,
 11:22:51.434,ed:40:fe:65:30:6c, 2015-01-01 00:35:39.615, 0.995, -0.014, -0.12, -0.183, -0.366, -0.061, -171.464, -82.985, 65.034, -27.520, -5.240, 23.473, 24.33, -0.40225, 0.60321, 0.44305, 0.52716,
 11:22:51.434,ed:40:fe:65:30:6c, 2015-01-01 00:35:39.615, 0.995, -0.015, -0.122, -0.244, -0.732, -0.061, -171.497, -82.974, 65.067, -27.520, -5.240, 23.473, 24.33, -0.40225, 0.60321, 0.44305, 0.52716,
 11:22:51.454,ed:35:33:d3:6c:f8, 2015-01-01 00:35:42.820, 0.929, 0.052, 0.35, -0.305, -0.549, -0.977, 8.042, -69.252, 152.254, -24.780, -8.947, -12.447, 28.91, -0.15616, -0.56396, 0.08002, -0.80688,
 11:22:51.454,ed:35:33:d3:6c:f8, 2015-01-01 00:35:42.820, 0.93, 0.05, 0.347, 0.061, -1.221, -1.221, 8.113, -69.269, 152.172, -24.780, -8.947, -12.447, 28.91, -0.15616, -0.56396, 0.08002, -0.80688,
 11:22:51.455,f6:90:cc:01:6d:25, 2015-01-01 00:35:42.320, 0.796, 0.017, -0.578, 0.305, -0.244, 0, 178.726, -53.866, -22.335, -23.767, -7.013, 12.600, 28.54, -0.09512, -0.8743, 0.17194, -0.4437,
 11:22:51.455,f6:90:cc:01:6d:25, 2015-01-01 00:35:42.320, 0.794, 0.016, -0.58, 1.099, -0.183, 0, 178.737, -53.86, -22.374, -23.767, -7.013, 12.600, 28.54, -0.09512, -0.8743, 0.17194, -0.4437,
 11:22:51.458,e3:ca:2d:fd:e0:8c, 2015-01-01 00:35:39.880, 0.987, -0.083, -0.25, 0.183, -1.709, 0.549, -161.307, -75.586, -69.368, -26.227, -4.813, -3.180, 22.85, -0.23853, -0.69791, 0.36081, -0.57071,
 11:22:51.458,e3:ca:2d:fd:e0:8c, 2015-01-01 00:35:39.880, 0.985, -0.084, -0.248, 0.305, -1.587, 0.671, -161.296, -75.547, -69.406, -26.227, -4.813, -3.180, 22.85, -0.23853, -0.69791, 0.36081, -0.57071,
 11:22:51.479,f6:90:cc:01:6d:25, 2015-01-01 00:35:42.320, 0.794, 0.013, -0.591, 1.038, -0.732, 0, 178.753, -53.849, -22.429, -23.533, -6.993, 12.893, 28.54, -0.09512, -0.8743, 0.17194, -0.4437,
 11:22:51.479,f6:90:cc:01:6d:25, 2015-01-01 00:35:42.320, 0.793, 0.013, -0.59, 1.038, -1.221, 0, 178.775, -53.833, -22.489, -23.533, -6.993, 12.893, 28.54, -0.09512, -0.8743, 0.17194, -0.4437,
 11:22:51.479,ed:40:fe:65:30:6c, 2015-01-01 00:35:39.615, 0.997, -0.017, -0.125, -0.183, -0.854, -0.061, -171.541, -82.952, 65.094, -27.520, -5.240, 23.473, 24.33, -0.40225, 0.60321, 0.44305, 0.52716,
 11:22:51.479,ed:40:fe:65:30:6c, 2015-01-01 00:35:39.615, 0.996, -0.018, -0.128, -0.122, -1.16, 0, -171.579, -82.936, 65.121, -27.520, -5.240, 23.473, 24.33, -0.40225, 0.60321, 0.44305, 0.52716,
 11:22:51.499,ed:35:33:d3:6c:f8, 2015-01-01 00:35:42.820, 0.933, 0.052, 0.344, 0.366, -2.075, -1.404, 8.212, -69.307, 152.073, -24.780, -8.947, -12.447, 28.91, -0.15616, -0.56396, 0.08002, -0.80688,
 11:22:51.499,ed:35:33:d3:6c:f8, 2015-01-01 00:35:42.820, 0.936, 0.056, 0.339, 0.366, -2.38, -1.16, 8.3, -69.351, 152.018, -24.780, -8.947, -12.447, 28.91, -0.15616, -0.56396, 0.08002, -0.80688,
 11:22:51.501,ed:40:fe:65:30:6c, 2015-01-01 00:35:39.615, 0.995, -0.017, -0.13, 0, -1.343, 0, -171.617, -82.908, 65.143, -27.520, -5.240, 23.473, 24.33, -0.40225, 0.60321, 0.44305, 0.52716,
 11:22:51.501,ed:40:fe:65:30:6c, 2015-01-01 00:35:39.615, 0.996, -0.014, -0.13, 0.122, -1.282, 0.122, -171.645, -82.881, 65.171, -27.520, -5.240, 23.473, 24.33, -0.40225, 0.60321, 0.44305, 0.52716,
 11:22:51.503,e3:ca:2d:fd:e0:8c, 2015-01-01 00:35:39.880, 0.985, -0.083, -0.246, 0.61, -1.221, 0.61, -161.274, -75.515, -69.467, -26.227, -4.813, -3.180, 22.85, -0.23853, -0.69791, 0.36081, -0.57071,
 11:22:51.503,e3:ca:2d:fd:e0:8c, 2015-01-01 00:35:39.880, 0.985, -0.083, -0.247, 0.488, -1.16, 0.549, -161.252, -75.487, -69.543, -26.227, -4.813, -3.180, 22.85, -0.23853, -0.69791, 0.36081, -0.57071,
 11:22:51.522,f6:90:cc:01:6d:25, 2015-01-01 00:35:42.320, 0.793, 0.014, -0.587, 0.916, -1.038, 0, 178.792, -53.806, -22.549, -23.533, -6.993, 12.893, 28.54, -0.09512, -0.8743, 0.17194, -0.4437,
 11:22:51.522,f6:90:cc:01:6d:25, 2015-01-01 00:35:42.320, 0.791, 0.015, -0.586, 0.977, -0.854, 0, 178.808, -53.784, -22.604, -23.533, -6.993, 12.893, 28.54, -0.09512, -0.8743, 0.17194, -0.4437,
 11:22:51.545,f6:90:cc:01:6d:25, 2015-01-01 00:35:42.320, 0.796, 0.016, -0.586, 1.221, -1.16, 0, 178.824, -53.762, -22.654, -23.533, -6.993, 12.893, 28.54, -0.09772, -0.87354, 0.17953, -0.44162,
 11:22:51.545,f6:90:cc:01:6d:25, 2015-01-01 00:35:42.320, 0.793, 0.013, -0.595, 0.977, -1.343, 0, 178.846, -53.74, -22.703, -23.533, -6.993, 12.893, 28.54, -0.09772, -0.87354, 0.17953, -0.44162,
 11:22:51.546,ed:40:fe:65:30:6c, 2015-01-01 00:35:39.615, 0.997, -0.014, -0.129, 0, -1.16, 0.122, -171.667, -82.853, 65.187, -27.520, -5.240, 23.473, 24.33, -0.40225, 0.60321, 0.44305, 0.52716,
