Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 13:38:13.727,ed:40:fe:65:30:6c, 2015-01-01 01:50:27.095, 0.982, 0.042, 0.184, 1.038, -5.676, -0.793, 12.387, -77.003, -140.532, -27.667, -14.267, 9.600, 27.83, 0.32828, -0.54855, -0.28333, -0.71481,
 13:38:13.728,ed:40:fe:65:30:6c, 2015-01-01 01:50:27.095, 0.963, 0.049, 0.203, 2.014, -4.639, 0, 12.557, -77.108, -140.713, -27.667, -14.267, 9.600, 27.83, 0.32828, -0.54855, -0.28333, -0.71481,
 13:38:13.728,e3:ca:2d:fd:e0:8c, 2015-01-01 01:50:21.880, 0.833, 0.071, -0.547, 1.709, -11.353, -4.15, 171.617, -55.558, -16.875, -24.187, -15.967, 7.233, 28.24, -0.13159, -0.8645, 0.16263, -0.45691,
 13:38:13.728,e3:ca:2d:fd:e0:8c, 2015-01-01 01:50:21.880, 0.834, 0.069, -0.569, 0.793, -11.23, -2.441, 171.612, -55.322, -16.897, -24.187, -15.967, 7.233, 28.24, -0.13159, -0.8645, 0.16263, -0.45691,
 13:38:13.730,f6:90:cc:01:6d:25, 2015-01-01 01:50:22.075, 0.849, -0.002, -0.488, 4.7, -22.095, -3.235, 179.39, -60.524, -12.129, -29.207, -14.413, 10.880, 32.31, -0.05582, -0.84668, 0.09445, -0.52057,
 13:38:13.730,f6:90:cc:01:6d:25, 2015-01-01 01:50:22.075, 0.862, 0.002, -0.495, 6.47, -20.874, -2.075, 179.418, -60.101, -12.047, -29.207, -14.413, 10.880, 32.31, -0.05582, -0.84668, 0.09445, -0.52057,
 13:38:13.750,ed:40:fe:65:30:6c, 2015-01-01 01:50:27.095, 0.961, 0.048, 0.226, 2.014, -4.211, -0.916, 12.7, -77.195, -140.845, -27.667, -14.267, 9.600, 27.83, 0.32828, -0.54855, -0.28333, -0.71481,
 13:38:13.750,ed:40:fe:65:30:6c, 2015-01-01 01:50:27.095, 0.959, 0.053, 0.223, 2.991, -6.287, 0.732, 12.876, -77.283, -141.015, -27.667, -14.267, 9.600, 27.83, 0.32828, -0.54855, -0.28333, -0.71481,
 13:38:13.752,f6:90:cc:01:6d:25, 2015-01-01 01:50:22.075, 0.849, 0.001, -0.511, 5.92, -19.897, -1.099, 179.5, -59.705, -12.008, -29.207, -14.413, 10.880, 32.31, -0.05582, -0.84668, 0.09445, -0.52057,
 13:38:13.752,f6:90:cc:01:6d:25, 2015-01-01 01:50:22.075, 0.849, -0.007, -0.508, 7.996, -22.949, 0.549, 179.637, -59.288, -12.019, -29.207, -14.413, 10.880, 32.31, -0.05582, -0.84668, 0.09445, -0.52057,
 13:38:13.754,ed:35:33:d3:6c:f8, 2015-01-01 01:50:21.965, 0.929, 0.024, 0.309, 2.319, -2.808, -5.371, 4.246, -71.125, 153.935, -24.493, -13.140, -12.720, 29.13, 0.15979, 0.56473, -0.10843, 0.80228,
