Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 11:29:36.740,ed:35:33:d3:6c:f8, 2015-01-01 00:42:25.405, 0.633, 0.042, 0.764, 0.366, 1.587, 1.526, 3.345, -39.589, 159.884, -17.120, -8.073, -24.373, 30.25, -0.15607, -0.33923, 0.03217, -0.92703,
 11:29:36.741,ed:35:33:d3:6c:f8, 2015-01-01 00:42:25.405, 0.632, 0.042, 0.768, 0.549, 1.099, 1.587, 3.329, -39.562, 159.901, -17.120, -8.073, -24.373, 30.25, -0.15607, -0.33923, 0.03217, -0.92703,
 11:29:36.741,f6:90:cc:01:6d:25, 2015-01-01 00:42:24.660, 0.975, -0.084, 0.125, 0.549, -0.061, 0, -33.349, -81.161, -116.334, -28.233, -5.313, 0.800, 29.74, 0.22498, -0.64441, -0.1434, -0.71655,
 11:29:36.741,f6:90:cc:01:6d:25, 2015-01-01 00:42:24.660, 0.977, -0.085, 0.127, 0.427, -0.122, -0.305, -33.333, -81.167, -116.34, -28.233, -5.313, 0.800, 29.74, 0.22498, -0.64441, -0.1434, -0.71655,
 11:29:36.744,ed:40:fe:65:30:6c, 2015-01-01 00:42:21.935, 0.783, 0.015, 0.626, 0.977, 0.793, 0.916, 1.67, -51.323, -107.82, -24.567, -5.140, 2.027, 25.56, -0.5351, 0.34378, 0.26636, 0.72418,
 11:29:36.744,ed:40:fe:65:30:6c, 2015-01-01 00:42:21.935, 0.783, 0.014, 0.63, 1.404, 0.916, 1.038, 1.67, -51.306, -107.814, -24.567, -5.140, 2.027, 25.56, -0.5351, 0.34378, 0.26636, 0.72418,
 11:29:36.744,e3:ca:2d:fd:e0:8c, 2015-01-01 00:42:22.355, 0.955, -0.092, 0.342, 0, -2.808, -0.122, -14.93, -69.609, 168.058, -22.867, -4.480, -11.633, 24.41, -0.15637, -0.55087, 0.16324, -0.80331,
 11:29:36.744,e3:ca:2d:fd:e0:8c, 2015-01-01 00:42:22.355, 0.959, -0.093, 0.344, 0, -2.625, -0.183, -14.958, -69.659, 168.047, -22.867, -4.480, -11.633, 24.41, -0.15637, -0.55087, 0.16324, -0.80331,
 11:29:36.765,e3:ca:2d:fd:e0:8c, 2015-01-01 00:42:22.355, 0.959, -0.09, 0.348, 0.061, -2.563, -0.183, -14.985, -69.708, 168.036, -22.867, -4.480, -11.633, 24.41, -0.15637, -0.55087, 0.16324, -0.80331,
 11:29:36.765,e3:ca:2d:fd:e0:8c, 2015-01-01 00:42:22.355, 0.958, -0.088, 0.349, -0.183, -2.441, -0.305, -15.007, -69.752, 168.019, -22.867, -4.480, -11.633, 24.41, -0.15637, -0.55087, 0.16324, -0.80331,
 11:29:36.787,f6:90:cc:01:6d:25, 2015-01-01 00:42:24.660, 0.977, -0.083, 0.133, 0.061, -0.427, -0.427, -33.305, -81.172, -116.362, -28.233, -5.313, 0.800, 29.74, 0.22498, -0.64441, -0.1434, -0.71655,
 11:29:36.787,f6:90:cc:01:6d:25, 2015-01-01 00:42:24.660, 0.976, -0.083, 0.136, -0.732, -1.038, -0.61, -33.3, -81.183, -116.373, -28.233, -5.313, 0.800, 29.74, 0.22498, -0.64441, -0.1434, -0.71655,
 11:29:36.806,ed:35:33:d3:6c:f8, 2015-01-01 00:42:25.405, 0.632, 0.044, 0.771, 0.671, 0.793, 1.831, 3.312, -39.545, 159.922, -17.120, -8.073, -24.373, 30.25, -0.15607, -0.33923, 0.03217, -0.92703,
 11:29:36.806,ed:35:33:d3:6c:f8, 2015-01-01 00:42:25.405, 0.632, 0.047, 0.772, 0.305, 0.488, 2.258, 3.29, -39.529, 159.944, -17.120, -8.073, -24.373, 30.25, -0.15607, -0.33923, 0.03217, -0.92703,
 11:29:36.809,ed:40:fe:65:30:6c, 2015-01-01 00:42:21.935, 0.784, 0.016, 0.632, 1.526, 0.977, 1.282, 1.67, -51.29, -107.798, -24.460, -5.673, 0.907, 25.56, -0.5351, 0.34378, 0.26636, 0.72418,
 11:29:36.809,ed:40:fe:65:30:6c, 2015-01-01 00:42:21.935, 0.782, 0.017, 0.633, 1.343, 1.221, 1.648, 1.659, -51.268, -107.759, -24.460, -5.673, 0.907, 25.56, -0.5351, 0.34378, 0.26636, 0.72418,
 11:29:36.811,e3:ca:2d:fd:e0:8c, 2015-01-01 00:42:22.355, 0.949, -0.087, 0.349, -0.427, -3.601, -0.366, -15.029, -69.807, 168.003, -22.867, -4.480, -11.633, 24.41, -0.15637, -0.55087, 0.16324, -0.80331,
 11:29:36.811,e3:ca:2d:fd:e0:8c, 2015-01-01 00:42:22.355, 0.952, -0.09, 0.332, -0.488, -3.784, -0.427, -15.068, -69.873, 168.003, -22.867, -4.480, -11.633, 24.41, -0.15637, -0.55087, 0.16324, -0.80331,
 11:29:36.830,f6:90:cc:01:6d:25, 2015-01-01 00:42:25.020, 0.971, -0.082, 0.132, -1.038, -1.404, -0.854, -33.316, -81.211, -116.367, -28.233, -5.313, 0.800, 29.74, 0.22498, -0.64441, -0.1434, -0.71655,
 11:29:36.830,f6:90:cc:01:6d:25, 2015-01-01 00:42:25.020, 0.97, -0.082, 0.127, -0.732, -0.977, -0.916, -33.322, -81.238, -116.334, -28.233, -5.313, 0.800, 29.74, 0.22498, -0.64441, -0.1434, -0.71655,
 11:29:36.830,ed:35:33:d3:6c:f8, 2015-01-01 00:42:25.405, 0.63, 0.045, 0.767, -1.038, 0.366, 2.319, 3.252, -39.523, 159.999, -17.120, -8.073, -24.373, 30.25, -0.15607, -0.33923, 0.03217, -0.92703,
 11:29:36.830,ed:35:33:d3:6c:f8, 2015-01-01 00:42:25.405, 0.627, 0.045, 0.763, -2.563, -0.061, 1.892, 3.192, -39.518, 160.049, -17.120, -8.073, -24.373, 30.25, -0.15607, -0.33923, 0.03217, -0.92703,
 11:29:36.831,ed:40:fe:65:30:6c, 2015-01-01 00:42:21.935, 0.779, 0.019, 0.627, 0.732, 1.587, 1.953, 1.637, -51.24, -107.715, -24.460, -5.673, 0.907, 25.56, -0.53668, 0.34155, 0.26541, 0.7244,
 11:29:36.831,ed:40:fe:65:30:6c, 2015-01-01 00:42:21.935, 0.776, 0.021, 0.625, -0.244, 1.465, 1.953, 1.599, -51.213, -107.666, -24.460, -5.673, 0.907, 25.56, -0.53668, 0.34155, 0.26541, 0.7244,
 11:29:36.853,f6:90:cc:01:6d:25, 2015-01-01 00:42:25.020, 0.969, -0.08, 0.127, 0.122, -0.61, -0.732, -33.294, -81.26, -116.34, -28.233, -5.313, 0.800, 29.74, 0.22498, -0.64441, -0.1434, -0.71655,
 11:29:36.853,f6:90:cc:01:6d:25, 2015-01-01 00:42:25.020, 0.971, -0.084, 0.124, 0.183, -0.61, -0.488, -33.256, -81.271, -116.362, -28.233, -5.313, 0.800, 29.74, 0.22498, -0.64441, -0.1434, -0.71655,
 11:29:36.857,e3:ca:2d:fd:e0:8c, 2015-01-01 00:42:22.355, 0.953, -0.092, 0.336, -0.244, -3.845, -0.427, -15.101, -69.944, 168.003, -22.867, -4.480, -11.633, 24.41, -0.15637, -0.55087, 0.16324, -0.80331,
