Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 15:10:35.743,ed:40:fe:65:30:6c, 2015-01-01 03:22:10.170, 0.918, -0.042, 0.418, -0.244, -0.183, -0.427, -6.097, -65.319, -108.309, -27.400, -6.067, 4.860, 23.48, -0.46906, 0.46191, 0.27994, 0.69867,
 15:10:35.744,ed:40:fe:65:30:6c, 2015-01-01 03:22:10.170, 0.915, -0.047, 0.418, 0, -0.061, -0.122, -6.092, -65.319, -108.309, -27.400, -6.067, 4.860, 23.48, -0.46906, 0.46191, 0.27994, 0.69867,
 15:10:35.745,e3:ca:2d:fd:e0:8c, 2015-01-01 03:22:05.085, 0.978, 0.084, 0.286, -0.061, -0.183, 0.183, 16.304, -72.856, 151.062, -26.933, -13.080, -11.373, 24.16, -0.11823, -0.59732, 0.03671, -0.79233,
 15:10:35.745,e3:ca:2d:fd:e0:8c, 2015-01-01 03:22:05.085, 0.976, 0.083, 0.285, -0.061, 0, 0.244, 16.287, -72.856, 151.095, -26.933, -13.080, -11.373, 24.16, -0.11823, -0.59732, 0.03671, -0.79233,
 15:10:35.766,ed:40:fe:65:30:6c, 2015-01-01 03:22:10.170, 0.915, -0.053, 0.419, 0.183, -0.122, 0.061, -6.097, -65.325, -108.303, -27.400, -6.067, 4.860, 23.48, -0.46902, 0.46304, 0.2793, 0.69821,
 15:10:35.766,ed:40:fe:65:30:6c, 2015-01-01 03:22:10.170, 0.913, -0.052, 0.418, 0.427, -0.183, 0.183, -6.103, -65.325, -108.281, -27.400, -6.067, 4.860, 23.48, -0.46902, 0.46304, 0.2793, 0.69821,
 15:10:35.768,f6:90:cc:01:6d:25, 2015-01-01 03:22:05.440, 0.982, -0.016, -0.085, -0.061, 0.244, 0, -173.716, -85.045, 3.983, -31.233, -10.407, 4.887, 26.98, 0.06439, -0.73428, -0.064, -0.67267,
 15:10:35.768,f6:90:cc:01:6d:25, 2015-01-01 03:22:05.440, 0.983, -0.013, -0.085, 0, 0.061, -0.122, -173.721, -85.051, 3.988, -31.233, -10.407, 4.887, 26.98, 0.06439, -0.73428, -0.064, -0.67267,
 15:10:35.770,ed:35:33:d3:6c:f8, 2015-01-01 03:22:05.205, 0.825, -0.036, 0.553, 0.122, -0.488, 0.244, -3.224, -56.179, 150.035, -20.900, -8.660, -21.947, 25.26, -0.24023, -0.44897, 0.14438, -0.84839,
 15:10:35.770,ed:35:33:d3:6c:f8, 2015-01-01 03:22:05.205, 0.824, -0.035, 0.554, 0.427, -0.671, 0.305, -3.224, -56.195, 150.062, -20.900, -8.660, -21.947, 25.26, -0.24023, -0.44897, 0.14438, -0.84839,
 15:10:35.789,e3:ca:2d:fd:e0:8c, 2015-01-01 03:22:05.085, 0.974, 0.081, 0.285, 0, 0, 0.122, 16.282, -72.861, 151.117, -26.933, -13.080, -11.373, 24.16, -0.11823, -0.59732, 0.03671, -0.79233,
 15:10:35.789,e3:ca:2d:fd:e0:8c, 2015-01-01 03:22:05.085, 0.975, 0.083, 0.285, 0, 0, 0, 16.282, -72.861, 151.128, -26.933, -13.080, -11.373, 24.16, -0.11823, -0.59732, 0.03671, -0.79233,
 15:10:35.810,ed:40:fe:65:30:6c, 2015-01-01 03:22:10.170, 0.912, -0.049, 0.418, 0.671, -0.183, 0.061, -6.097, -65.33, -108.287, -27.400, -6.067, 4.860, 23.48, -0.46902, 0.46304, 0.2793, 0.69821,
 15:10:35.810,ed:40:fe:65:30:6c, 2015-01-01 03:22:10.170, 0.911, -0.048, 0.419, 1.038, -0.244, 0, -6.081, -65.33, -108.292, -27.400, -6.067, 4.860, 23.48, -0.46902, 0.46304, 0.2793, 0.69821,
 15:10:35.812,e3:ca:2d:fd:e0:8c, 2015-01-01 03:22:05.085, 0.976, 0.084, 0.285, 0, 0, -0.183, 16.287, -72.861, 151.133, -26.933, -13.080, -11.373, 24.16, -0.11823, -0.59732, 0.03671, -0.79233,
 15:10:35.812,e3:ca:2d:fd:e0:8c, 2015-01-01 03:22:05.085, 0.972, 0.086, 0.286, -0.183, 0.122, -0.122, 16.293, -72.861, 151.139, -26.933, -13.080, -11.373, 24.16, -0.11823, -0.59732, 0.03671, -0.79233,
 15:10:35.812,f6:90:cc:01:6d:25, 2015-01-01 03:22:05.440, 0.982, -0.009, -0.084, 0.244, 0, -0.244, -173.749, -85.051, 4.026, -31.233, -10.407, 4.887, 26.98, 0.06439, -0.73428, -0.064, -0.67267,
 15:10:35.812,f6:90:cc:01:6d:25, 2015-01-01 03:22:05.440, 0.979, -0.004, -0.085, 0.366, -0.671, -0.305, -173.815, -85.04, 4.092, -31.233, -10.407, 4.887, 26.98, 0.06439, -0.73428, -0.064, -0.67267,
 15:10:35.814,ed:35:33:d3:6c:f8, 2015-01-01 03:22:05.205, 0.825, -0.033, 0.555, 0.732, -1.16, 0.244, -3.219, -56.217, 150.079, -20.900, -8.660, -21.947, 25.26, -0.24066, -0.4483, 0.1456, -0.84842,
 15:10:35.814,ed:35:33:d3:6c:f8, 2015-01-01 03:22:05.205, 0.819, -0.031, 0.555, 0.671, -1.221, 0.122, -3.214, -56.239, 150.084, -20.900, -8.660, -21.947, 25.26, -0.24066, -0.4483, 0.1456, -0.84842,
 15:10:35.834,ed:40:fe:65:30:6c, 2015-01-01 03:22:10.505, 0.902, -0.047, 0.419, 1.099, -0.061, -0.244, -6.053, -65.33, -108.309, -27.400, -6.067, 4.860, 23.48, -0.46902, 0.46304, 0.2793, 0.69821,
 15:10:35.834,ed:40:fe:65:30:6c, 2015-01-01 03:22:10.505, 0.91, -0.055, 0.417, 0.977, 0.793, 0.305, -6.053, -65.314, -108.298, -27.400, -6.067, 4.860, 23.48, -0.46902, 0.46304, 0.2793, 0.69821,
 15:10:35.857,f6:90:cc:01:6d:25, 2015-01-01 03:22:05.440, 0.979, -0.012, -0.083, 0.61, -0.61, -0.671, -173.947, -85.029, 4.23, -31.233, -10.407, 4.887, 26.98, 0.06439, -0.73428, -0.064, -0.67267,
 15:10:35.857,f6:90:cc:01:6d:25, 2015-01-01 03:22:05.440, 0.979, -0.02, -0.08, 0.061, -0.366, -1.282, -174.194, -85.023, 4.493, -31.233, -10.407, 4.887, 26.98, 0.06439, -0.73428, -0.064, -0.67267,
 15:10:35.859,ed:35:33:d3:6c:f8, 2015-01-01 03:22:05.515, 0.822, -0.023, 0.547, -0.732, -1.648, 0.793, -3.257, -56.266, 150.123, -20.900, -8.660, -21.947, 25.26, -0.24066, -0.4483, 0.1456, -0.84842,
 15:10:35.859,ed:35:33:d3:6c:f8, 2015-01-01 03:22:05.515, 0.827, -0.021, 0.545, -1.831, -2.197, 3.052, -3.384, -56.31, 150.266, -20.900, -8.660, -21.947, 25.26, -0.24066, -0.4483, 0.1456, -0.84842,
 15:10:35.878,ed:40:fe:65:30:6c, 2015-01-01 03:22:10.505, 0.913, -0.053, 0.417, 1.77, 0.671, 1.831, -6.103, -65.297, -108.215, -27.400, -6.067, 4.860, 23.48, -0.46902, 0.46304, 0.2793, 0.69821,
 15:10:35.878,ed:40:fe:65:30:6c, 2015-01-01 03:22:10.505, 0.91, -0.055, 0.415, 1.404, 1.343, 3.418, -6.224, -65.259, -108.056, -27.400, -6.067, 4.860, 23.48, -0.46902, 0.46304, 0.2793, 0.69821,
 15:10:35.879,e3:ca:2d:fd:e0:8c, 2015-01-01 03:22:05.085, 0.969, 0.087, 0.289, -0.549, 0.122, 0, 16.282, -72.861, 151.155, -26.933, -13.080, -11.373, 24.16, -0.11823, -0.59732, 0.03671, -0.79233,
 15:10:35.879,e3:ca:2d:fd:e0:8c, 2015-01-01 03:22:05.085, 0.965, 0.083, 0.291, -0.854, 0, 0, 16.265, -72.861, 151.172, -26.933, -13.080, -11.373, 24.16, -0.11823, -0.59732, 0.03671, -0.79233,
 15:10:35.902,e3:ca:2d:fd:e0:8c, 2015-01-01 03:22:05.085, 0.967, 0.077, 0.292, -0.854, -0.366, -0.244, 16.271, -72.867, 151.161, -26.987, -12.980, -10.707, 24.16, -0.11823, -0.59732, 0.03671, -0.79233,
 15:10:35.902,e3:ca:2d:fd:e0:8c, 2015-01-01 03:22:05.085, 0.973, 0.071, 0.292, -0.671, -0.793, -0.732, 16.309, -72.878, 151.111, -26.987, -12.980, -10.707, 24.16, -0.11823, -0.59732, 0.03671, -0.79233,
 15:10:35.902,f6:90:cc:01:6d:25, 2015-01-01 03:22:05.440, 0.979, -0.027, -0.077, 0, 0.244, -1.831, -174.54, -85.029, 4.856, -31.233, -10.407, 4.887, 26.98, 0.06439, -0.73428, -0.064, -0.67267,
 15:10:35.902,f6:90:cc:01:6d:25, 2015-01-01 03:22:05.440, 0.982, -0.023, -0.076, -0.732, 0.732, -1.892, -174.902, -85.045, 5.229, -31.233, -10.407, 4.887, 26.98, 0.06439, -0.73428, -0.064, -0.67267,
